Rank,Name,Team,Position,Pass Comp/Att,Pass Yds,Pass TD,Pass INT,Rush Car,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Targets,Standard,Half PPR,PPR,Projected,Bye Week
78,Jordan Addison,Min,WR,0/0,0,0,0,2,10,0,62,773,6,101,114.3,145.3,176.3,2.1,6
79,Emeka Egbuka,TB,WR,0/0,0,0,4,28,0,59,791,3,92,,898.3,1293.8,1689.3,3.6,9
80,Tyrone Tracy Jr.,NYG,RB,0/0,0,0,0,218,949,6,39,297,2,63,172.6,192.1,211.6,3.6,14
81,Jacory Croskey-Merritt,Was,RB,0/0,0,0,0,181,745,7,25,179,1,32,140.4,152.9,165.4,4,12
82,Kaleb Johnson,Pit,RB,0/0,0,0,0,229,975,7,25,180,1,33,163.5,176,188.5,6.6,5
83,Mark Andrews,Bal,TE,0/0,0,0,0,0,0,0,61,657,7,92,107.7,138.2,168.7,4.2,7
84,Travis Kelce,KC,TE,0/0,0,0,0,0,0,0,75,727,5,103,102.7,140.2,177.7,5.6,10
85,David Njoku,Cle,TE,0/0,0,0,0,0,0,0,73,739,5,110,103.9,140.4,176.9,2.2,9
86,Evan Engram,Den,TE,0/0,0,0,0,0,0,0,80,717,3,108,89.7,129.7,169.7,2.5,12
87,Bo Nix,Den,QB,367/557,3966,27,12,45,418,4,0,0,0,0,308.44,308.44,308.44,4.3,12
88,Kyler Murray,Ari,QB,374/552,3865,25,12,90,597,5,0,0,0,0,320.3,320.3,320.3,2.3,8
89,Brock Purdy,SF,QB,366/544,4568,33,13,29,264,4,0,0,0,0,339.12,339.12,339.12,2.4,14
90,Joe Mixon,Hou,RB,0/0,0,0,0,192,814,3,42,265,2,62,137.9,158.9,179.9,8.2,6
91,Jaylen Warren,Pit,RB,0/0,0,0,0,160,709,4,56,407,2,74,147.6,175.6,203.6,2.7,5
92,Austin Ekeler,Was,RB,0/0,0,0,0,112,444,5,51,421,2,62,128.5,154,179.5,1.4,12
93,J.K. Dobbins,Den,RB,0/0,0,0,157,707,5,29,174,1,49,,154.6,241.6,328.6,2.5,12
94,Rhamondre Stevenson,NE,RB,0/0,0,0,0,186,776,4,29,199,2,38,133.5,148,162.5,1.5,14
95,Javonte Williams,Den,RB,0/0,0,0,0,162,642,6,36,240,1,47,130.2,148.2,166.2,1.7,12
96,Stefon Diggs,Hou,WR,0/0,0,0,0,2,13,0,82,918,4,117,117.1,158.1,199.1,2.1,6
97,Michael Pittman Jr.,WA,WR,0/0,0,0,0,0,0,0,89,1007,5,147,130.7,175.2,219.7,1.2,12
98,Deebo Samuel,SF,WR,0/0,0,0,0,27,121,2,85,894,5,140,143.5,186,228.5,2.5,14
99,Keon Coleman,Buf,WR,0/0,0,0,0,0,0,0,51,853,8,97,133.3,158.8,184.3,1.3,7
100,Jauan Jennings,SF,WR,0/0,0,0,0,0,0,0,73,994,5,112,129.4,165.9,202.4,1.8,14
101,Khalil Shakir,Buf,WR,0/0,0,0,0,0,0,0,83,834,7,111,125.4,166.9,208.4,1.2,7
102,Ricky Pearsall,SF,WR,0/0,0,0,0,29,63,0,65,928,4,100,123.1,155.6,188.1,3,14
103,Justin Herbert,LAC,QB,374/572,4161,25,10,63,266,3,0,0,0,0,291.04,291.04,291.04,1.4,12
104,Caleb Williams,Chi,QB,392/553,3913,25,7,75,446,6,0,0,0,0,323.12,323.12,323.12,1.3,5
105,Dak Prescott,Dal,QB,393/593,3971,30,14,49,195,4,0,0,0,0,294.34,294.34,294.34,2.1,10
106,Justin Fields,Chi,QB,301/483,3370,17,12,161,824,7,0,0,0,0,303.2,303.2,303.2,2.3,5
107,Jayden Reed,GB,WR,0/0,0,0,0,14,102,0,57,703,4,83,104.5,133,161.5,1.3,5
108,Darnell Mooney,Atl,WR,0/0,0,0,0,0,0,0,53,890,7,96,131,157.5,184,1.1,5
109,Keenan Allen,LAC,WR,0/0,0,0,0,0,0,0,75,1023,7,113,144.3,181.8,219.3,1.2,12
110,Josh Downs,Ind,WR,0/0,0,0,0,6,39,0,62,925,4,105,120.4,151.4,182.4,1.1,11
111,Rashid Shaheed,NO,WR,0/0,0,0,0,6,39,0,66,769,4,87,104.8,137.8,170.8,1.1,11
112,Jayden Higgins,Hou,WR,0/0,0,0,0,0,0,0,66,769,4,87,100.9,133.9,166.9,1.2,6
113,Tyler Warren,TE,TE,0/0,0,0,0,0,0,0,65,691,5,91,99.1,131.6,164.1,2.8,
114,Cam Skattebo,NYG,RB,0/0,0,0,0,182,792,6,17,122,0,29,127.4,135.9,144.4,1.8,14
115,Tank Bigsby,Jax,RB,0/0,0,0,0,182,792,6,17,122,0,29,127.4,135.9,144.4,1.5,8
116,Jordan Mason,Mia,RB,0/0,0,0,0,176,815,4,13,89,0,17,114.4,120.9,127.4,3.3,12
117,Tyjae Spears,Ten,RB,0/0,0,0,0,133,561,4,40,299,1,52,116,136,156,1.2,10
118,Travis Etienne Jr.,Jax,RB,0/0,0,0,0,129,532,4,43,333,1,58,116.5,138,159.5,2.6,8
119,Quinshon Judkins,Cle,RB,0/0,0,0,0,168,736,4,27,191,1,35,122.7,136.2,149.7,3.5,9
120,Rachaad White,TB,RB,0/0,0,0,0,116,496,4,32,231,2,38,108.7,124.7,140.7,1.2,9
121,Drake Maye,NE,QB,350/523,3639,23,13,76,543,2,0,0,0,0,277.86,277.86,277.86,1.4,14
122,Jordan Love,GB,QB,349/543,4041,26,14,8,176,2,0,0,0,0,267.24,267.24,267.24,1.2,5
123,Jared Goff,Det,QB,388/563,4347,26,14,7,42,0,0,0,0,0,254.08,254.08,254.08,1.8,8
124,J.J. McCarthy,Min,QB,389/603,4175,29,15,54,230,2,0,0,0,0,288,288,288,1.3,6
125,Colston Loveland,Chi,TE,0/0,0,0,0,0,0,0,61,665,5,90,96.5,127,157.5,1.4,5
126,Tucker Kraft,GB,TE,0/0,0,0,0,0,0,0,63,723,4,95,96.3,127.8,159.3,1.6,5
127,Dallas Goedert,Phi,TE,0/0,0,0,0,0,0,0,50,663,4,85,90.3,115.3,140.3,1.2,9
128,Kyle Pitts,Atl,TE,0/0,0,0,0,0,0,0,56,678,4,86,91.8,119.8,147.8,1.3,5
129,Dalton Kincaid,Buf,TE,0/0,0,0,0,0,0,0,56,678,4,86,91.8,119.8,147.8,1.3,7
130,Trey Benson,Ari,RB,0/0,0,0,0,138,608,4,21,154,1,27,106.2,116.7,127.2,1.5,8
131,Zach Charbonnet,Sea,RB,0/0,0,0,0,132,574,4,30,217,1,39,109.1,124.1,139.1,2.5,8
132,Tyler Allgeier,Atl,RB,0/0,0,0,0,121,552,4,41,178,2,53,109,129.5,150,1.2,5
133,Jaydon Blue,Dal,RB,0/0,0,0,0,104,435,3,23,160,1,29,83.5,95,106.5,1.8,10
134,Jaylen Wright,Mia,RB,0/0,0,0,0,105,445,3,18,129,1,24,81.4,90.4,99.4,1.2,12
135,Braelon Allen,NYJ,RB,0/0,0,0,0,107,447,2,14,104,0,18,67.1,74.1,81.1,1.7,9
136,Adam Thielen,Car,WR,0/0,0,0,0,0,0,0,73,709,4,99,94.9,131.4,167.9,1.1,14
137,Xavier Legette,Car,WR,0/0,0,0,0,0,0,0,57,700,4,94,94,122.5,151,1,14
138,Cedric Tillman,Cle,WR,0/0,0,0,0,0,0,0,64,843,4,110,108.3,140.3,172.3,1,9
139,Hollywood Brown,KC,WR,0/0,0,0,0,0,0,0,55,761,5,95,106.1,133.6,161.1,1.1,10
140,Brandon Aiyuk,SF,WR,0/0,0,0,0,0,0,0,87,579,3,85,75.9,119.4,162.9,1.5,14
141,Hunter Henry,NE,TE,0/0,0,0,0,0,0,0,54,583,5,81,88.3,115.3,142.3,1,14
142,Jake Ferguson,Dal,TE,0/0,0,0,0,0,0,0,66,633,3,84,81.3,114.3,147.3,1.2,10
143,Tua Tagovailoa,Mia,QB,412/601,4577,27,13,35,103,1,0,0,0,0,281.38,281.38,281.38,1.4,12
144,Matthew Stafford,LAR,QB,381/590,4435,23,14,33,293,0,0,0,0,0,270.7,270.7,270.7,1.2,8
145,C.J. Stroud,Hou,QB,365/568,4373,24,11,51,519,3,0,0,0,0,318.82,318.82,318.82,1.4,6
146,Jerome Ford,Cle,RB,0/0,0,0,0,0,0,0,87,998,3,117,117.8,161.3,204.8,1.3,9
147,Najee Harris,Pit,RB,0/0,0,0,0,113,457,3,17,0,0,0,63.7,72.2,80.7,2,5
148,Bhayshul Tuten,Jax,RB,0/0,0,0,0,52,226,1,13,91,0,17,37.7,44.2,50.7,1.2,8
149,Ray Davis,Buf,RB,0/0,0,0,0,106,440,3,57,0,0,0,62,90.5,119,1.3,7
150,Will Shipley,Phi,RB,0/0,0,0,0,56,240,1,76,0,0,0,30,68,106,1,9
151,Nick Chubb,Hou,RB,0/0,0,0,0,139,607,5,10,81,0,14,98.8,103.8,108.8,1.8,6
152,Wan'Dale Robinson,NYG,WR,0/0,0,0,0,2,13,0,69,675,7,102,110.8,145.3,179.8,1,14
153,Marvin Mims Jr.,Den,WR,0/0,0,0,0,22,108,1,44,628,4,65,103.6,125.6,147.6,1.2,12
154,Christian Kirk,Hou,WR,0/0,0,0,0,0,0,0,49,619,5,95,91.9,116.4,140.9,1.1,6
155,Rashod Bateman,Bal,WR,0/0,0,0,0,0,0,0,43,611,6,95,97.1,118.6,140.1,1.1,7
156,DeMario Douglas,NE,WR,0/0,0,0,0,2,14,0,56,636,3,81,83,111,139,1,14
157,Luther Burden III,Chi,WR,0/0,0,0,0,4,26,0,38,439,3,58,64.5,83.5,102.5,1.2,5
158,Tre' Harris,LAC,WR,0/0,0,0,0,0,0,0,39,392,6,67,75.2,94.7,114.2,1.5,12
159,Michael Wilson,Ari,WR,0/0,0,0,0,0,0,0,33,523,5,70,82.3,98.8,115.3,1,8
160,Brian Robinson Jr.,Was,RB,0/0,0,0,0,194,853,8,26,367,3,57,188,201,214,3.4,12
161,Justice Hill,Bal,RB,0/0,0,0,0,41,185,1,38,316,2,50,68.1,87.1,106.1,1,7
162,MarShawn Lloyd,LV,RB,0/0,0,0,0,62,260,2,20,143,0,26,52.3,62.3,72.3,1,8
163,Jack Bech,Hou,WR,0/0,0,0,0,2,14,0,36,323,2,54,45.7,63.7,81.7,1,6
164,Kyle Williams,Cle,WR,0/0,0,0,0,2,14,0,33,316,2,52,45,61.5,78,1.1,9
165,Zach Ertz,Was,TE,0/0,0,0,0,0,0,0,57,511,5,82,81.1,109.6,138.1,1.1,12
166,Jonnu Smith,Mia,TE,0/0,0,0,0,0,0,0,57,667,6,93,102.7,131.2,159.7,1.6,12
167,Darren Waller,NYG,TE,0/0,0,0,0,0,0,0,62,704,3,89,88.4,119.4,150.4,1.4,14
168,Cade Otton,TB,TE,0/0,0,0,0,0,0,0,50,578,4,70,81.8,106.8,131.8,1.3,9
169,Texans D/ST,Hou,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,131.7,131.7,131.7,1,6
170,Steelers D/ST,Pit,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,132.5,132.5,132.5,1,5
171,Broncos D/ST,Den,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,127.5,127.5,127.5,1,12
172,Vikings D/ST,Min,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,119.6,119.6,119.6,1,6
173,Seahawks D/ST,Sea,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,119.6,119.6,119.6,1,8
174,Ravens D/ST,Bal,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,120.4,120.4,120.4,1,7
175,Patriots D/ST,NE,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,116.5,116.5,116.5,1,14
176,Lions D/ST,Det,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,118.2,118.2,118.2,1,8
177,Eagles D/ST,Phi,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,100,100,100,1,9
178,Bills D/ST,Buf,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,104.9,104.9,104.9,1,7
179,Colts D/ST,Ind,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,108.5,108.5,108.5,1,11
180,Jets D/ST,NYJ,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,96.7,96.7,96.7,1,9
181,Jake Bates,Det,K,0/0,0,0,0,0,0,0,0,0,0,0,144.8,144.8,144.8,1.5,8
182,Chase McLaughlin,TB,K,0/0,0,0,0,0,0,0,0,0,0,0,146.3,146.3,146.3,1.2,9
183,Cameron Dicker,LAC,K,0/0,0,0,0,0,0,0,0,0,0,0,143.7,143.7,143.7,1.7,12
184,Brandon Aubrey,Dal,K,0/0,0,0,0,0,0,0,0,0,0,0,142.2,142.2,142.2,3.3,10
185,Mason Sanders,GB,K,0/0,0,0,0,0,0,0,0,0,0,0,140.6,140.6,140.6,1,5
186,Tyler Bass,Buf,K,0/0,0,0,0,0,0,0,0,0,0,0,141.3,141.3,141.3,1.3,7
187,Jake Elliott,Phi,K,0/0,0,0,0,0,0,0,0,0,0,0,141.1,141.1,141.1,1.2,9
188,Chris Boswell,Pit,K,0/0,0,0,0,0,0,0,0,0,0,0,138.2,138.2,138.2,1.3,5
189,Harrison Butker,KC,K,0/0,0,0,0,0,0,0,0,0,0,0,138.9,138.9,138.9,1.4,10
190,Cairo Santos,Chi,K,0/0,0,0,0,0,0,0,0,0,0,0,139.6,139.6,139.6,1,5
191,Tyler Loup,Bal,K,0/0,0,0,0,0,0,0,0,0,0,0,140,140,140,1,7
192,Matt Gay,Ind,K,0/0,0,0,0,0,0,0,0,0,0,0,140,140,140,1,11
193,Romeo Doubs,GB,WR,0/0,0,0,0,0,0,0,48,575,4,76,81.5,105.5,129.5,1,5
194,Tyler Lockett,Ten,WR,0/0,0,0,0,0,0,0,46,497,4,71,73.7,96.7,119.7,1,10
195,Roschon Johnson,Chi,RB,0/0,0,0,0,74,302,4,15,92,0,19,63.4,70.9,78.4,1,5
196,Dylan Sampson,Cle,RB,0/0,0,0,0,70,298,3,12,93,0,17,57.1,63.1,69.1,1.2,9
197,Nick Westbrook-Ikhine,Was,WR,0/0,0,0,0,0,0,0,34,486,4,59,72.6,89.6,106.6,1,12
198,Trevor Lawrence,Jax,QB,384/592,4274,22,14,60,283,4,0,0,0,0,283.26,283.26,283.26,1.2,8
