"Player","Team","REC","YDS","TDS","FL","FPTS"
"CJ Dippre","NE","3.9","37.3","0.3","0.0","7.2"
"Tyler Conklin","DET","3.7","38.0","0.3","0.0","7.1"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","6.9"
"Drew Ogletree","IND","3.7","35.3","0.3","0.0","6.9"
"Tip Reiman","ARI","3.8","34.5","0.2","0.0","6.5"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","6.5"
"Jack Stoll","CLE","3.6","30.3","0.2","0.0","5.7"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
